createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,porcentaje01,porcentaje02,porcentaje03,porcentaje04,porcentaje05,porcentaje06,porcentaje07,porcentaje08,porcentaje09,porcentaje10,porcentaje11,porcentaje12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000038,2025,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000042,2025,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000057,2025,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000059,2025,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000180,2025,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000200,2025,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000210,2025,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000220,2025,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000262,2025,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000290,2025,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,f,f,f
